,SetID,Number,Variant,ThemeGroup,Theme,Year,Name,Minifigs,Pieces,Image,ImageFilename
12796,27294,471702,1,Girls,Friends,2017,Mia,1.0,8.0,True,FR471702-1
12797,28241,471801,1,Girls,Friends,2018,Dolphin and Crab,,,True,FR471801-1
12798,29390,471904,1,Girls,Friends,2019,Show Jump,,,True,471904-1
12799,28983,471905,1,Licensed,The Lego Movie 2: The Second Part,2019,Emmet with Tools,1.0,,True,TLM471905-1
12800,29162,471906,1,Licensed,The Lego Movie 2: The Second Part,2019,Rex with Jetpack,1.0,,True,TLM471906-1
12801,23774,561407,1,Girls,Friends,2014,Dog Grooming,,,True,FR561407-1
12802,23775,561408,1,Girls,Friends,2014,Beach Scene,,,True,FR561408-1
12803,23976,561409,1,Girls,Friends,2014,Kitchen with oven,,28.0,True,FR561409-1
12804,24017,561410,1,Girls,Friends,2014,Halloween Shop,,,True,FR561410-1
12805,24133,561411,1,Girls,Friends,2014,Cat and scenery,,24.0,True,FR561411-1
12806,24084,561412,1,Girls,Friends,2014,Christmas Tree,,35.0,True,FR561412-1
12807,24292,561501,1,Girls,Friends,2015,Penguin's ice slide,,10.0,True,FR561501-1
12808,24433,561502,1,Girls,Friends,2015,Dressing table,,22.0,True,FR561502-1
12809,24434,561503,1,Girls,Friends,2015,Rabbit and tree,,23.0,True,FR561503-1
12810,24475,561504,1,Girls,Friends,2015,Mini Party,,,True,FR561504-1
12811,24512,561505,1,Girls,Friends,2015,Picnic Set,,,True,FR561505-1
12812,24586,561506,1,Girls,Friends,2015,Sweet Garden and Kitchen,,23.0,True,FR561506-1
12813,24617,561507,1,Girls,Friends,2015,Garden set,,,True,FR561507-1
12814,24809,561508,1,Girls,Friends,2015,Turtle in the Tropics,,14.0,True,FR561508-1
12815,24872,561509,1,Girls,Friends,2015,Become a Star,,,True,FR561509-1
12816,25568,561510,1,Girls,Friends,2015,Halloween Door,,,True,FR561510-1
12817,25669,561511,1,Girls,Friends,2015,Hedgehog,,,True,FR561511-1
12818,25873,561512,1,Girls,Friends,2015,Winter Fun,,,True,FR561512-1
12819,26030,561601,1,Girls,Friends,2016,Parrot and Nest,,,True,FR561601-1
12820,26077,561602,1,Girls,Friends,2016,Valentine's Post Box,,,True,FR561602-1
12821,26113,561603,1,Girls,Friends,2016,Dog on stage,,,True,FR561603-1
12822,26214,561604,1,Girls,Friends,2016,Chocolate Kitchen,,,True,FR561604-1
12823,26371,561605,1,Girls,Friends,2016,Ice Cream Cart,,,True,FR561605-1
12824,26313,561606,1,Girls,Friends,2016,Rabbit and hutch,,,True,FR561606-1
12825,26373,561607,1,Girls,Friends,2016,Happy Beach,,,True,FR561607-1
12826,26806,561608,1,Girls,Friends,2016,Cake stall,,,True,FR561608-1
12827,26641,561609,1,Girls,Friends,2016,Olivia's Laboratory ,,19.0,True,FR561609-1
12828,26809,561610,1,Girls,Friends,2016,Halloween Shop,,,True,FR561610-1
12829,26833,561611,1,Girls,Friends,2016,Gift wrapping table,,,True,FR561611-1
12830,26904,561612,1,Girls,Friends,2016,Christmas Fireplace,,,True,FR561612-1
12831,26992,561701,1,Girls,Friends,2017,Bear in Cave,,,True,FR561701-1
12832,27053,561702,1,Girls,Friends,2017,Kitten Felix,,,True,FR561702-1
12833,27179,561703,1,Girls,Friends,2017,Fruit Bar,,,True,FR561703-1
12834,27242,561704,1,Girls,Friends,2017,Turtle on a Beach,,25.0,True,FR561704-1
12835,27387,561705,1,Girls,Friends,2017,Wardrobe of Future Star ,,,True,FR561705-1
12836,27604,561706,1,Girls,Friends,2017,Home Bakery,,,True,FR561706-1
12837,27868,561801,1,Girls,Friends,2018,Wishing Well with Andrea's Little Bird,,,True,FR561801-1
