,SetID,Number,Variant,ThemeGroup,Theme,Year,Name,Minifigs,Pieces,Image,ImageFilename
6,8415,1,11,Basic,Basic,1981,Basic Souvenir Box,,38.0,True,1-11
53,5024,0011,3,Historical,Castle,1987,2 For 1 Bonus Offer,,151.0,True,0011-3
61,23464,15,1,Historical,Castle,1984,Castle Minifigures,6.0,10.0,False,
74,22519,22,3,Miscellaneous,Assorted,1995,Value Pack Italy,,91.0,True,22-3
76,22520,23,2,Modern day,Town,1995,Value Pack Italy,,161.0,True,23-2
108,9581,54,1,Action/Adventure,Space,1997,UFO Action Pack,,96.0,True,54-1
166,123,105,1,Modern day,Town,1984,Mail Van,1.0,65.0,True,105-1
170,125,106,1,Modern day,Town,1985,UNICEF Van,1.0,59.0,True,106-1
172,129,107,2,Modern day,Town,1985,Mail Truck,1.0,31.0,True,107-2
274,708,200,2,Miscellaneous,Books,1985,Building Ideas Book,,,True,200-2
324,845,226,2,Miscellaneous,Books,1981,Building Ideas Book,,,True,226-2
326,27121,226,4,Miscellaneous,Books,1984,The Building Book,,,True,226-4
367,924,250,1,Miscellaneous,Books,1987,Building Ideas Book,,1.0,True,250-1
386,5015,260,1,Miscellaneous,Books,1990,Idea Book,,1.0,True,260-1
433,22560,293,2,Basic,Basic,1985,Basic Building Set,,,True,293-2
443,1259,303,1,Basic,Basic,1987,"Basic Building Set, 3+",,33.0,False,
445,1267,304,1,Basic,Basic,1985,"Basic Building Set, 3+",,31.0,False,
451,1289,307,1,Basic,Basic,1987,"Basic Building Set, 3+",,,False,
454,1301,308,2,Basic,Basic,1985,"Basic Building Set, 3+",,30.0,False,
461,1317,310,4,Basic,Basic,1985,"Basic Building Set, 3+",,46.0,True,310-4
465,1327,311,3,Basic,Basic,1984,"Basic Building Set, 3+",,83.0,True,311-3
476,1362,315,1,Basic,Basic,1990,"Basic Building Set, 3+",,62.0,True,315-1
484,22423,317,2,Basic,Basic,1987,Basic Building Set,,68.0,False,
489,1383,320,1,Basic,Basic,1985,"Basic Building Set, 3+",1.0,77.0,True,320-1
494,1395,322,1,Basic,Basic,1981,Basic Set,,82.0,True,322-1
500,1413,325,1,Basic,Basic,1990,"Basic Building Set, 3+",1.0,104.0,True,325-1
505,22426,327,1,Basic,Basic,1987,Basic Building Set,1.0,102.0,True,327-1
511,1441,330,1,Basic,Basic,1985,"Basic Building Set, 3+",2.0,156.0,True,330-1
519,1462,333,1,Basic,Basic,1981,Basic Set,2.0,98.0,True,333-1
524,1479,335,1,Basic,Basic,1990,"Basic Building Set, 3+",,99.0,True,335-1
528,22425,337,1,Basic,Basic,1987,Basic Building Set,2.0,212.0,False,
532,1501,340,1,Basic,Basic,1985,"Basic Building Set, 3+",2.0,214.0,True,340-1
546,1547,345,2,Basic,Basic,1993,"Small Play Bucket, 3+",,131.0,False,
551,10101,347,2,Basic,Basic,1987,Basic Building Set,2.0,328.0,True,347-2
559,1599,350,2,Basic,Basic,1985,"Basic Building Set, 3+",4.0,311.0,True,350-2
566,1636,355,2,Basic,Basic,1981,Universal Building Set,2.0,181.0,True,355-2
569,22424,357,2,Basic,Basic,1987,Basic Building Set,,681.0,False,
583,1712,365,2,Basic,Basic,1990,"Basic Building Set, 3+",1.0,337.0,False,
584,26632,365,3,Basic,Basic,1993,Build-n-Store Chest,,333.0,True,365-3
585,1721,366,1,Basic,Basic,1981,Basic Building Set,2.0,184.0,True,366-1
618,1837,385,2,Basic,Basic,1990,"Basic Building Set, 3+",2.0,438.0,True,385-2
621,9777,390,1,Basic,Basic,1986,Helicopter,1.0,24.0,True,390-1
624,23655,391,2,Basic,Basic,1986,Police Car,1.0,21.0,True,391-2
626,9215,392,2,Basic,Basic,1986,Fire Engine,1.0,23.0,True,392-2
628,23656,393,2,Basic,Basic,1986,Tow Truck,1.0,29.0,True,393-2
631,8631,395,2,Basic,Basic,1990,Build-N-Store Chest,,535.0,True,395-2
773,2419,503,1,Basic,Basic,1987,"Basic Building Set, 5+",,34.0,True,503-1
775,2430,504,1,Basic,Basic,1985,"Basic Building Set, 5+",,41.0,False,
776,2461,507,1,Basic,Basic,1987,"Basic Building Set, 5+",,60.0,True,507-1
777,2472,508,1,Basic,Basic,1985,"Basic Building Set, 5+",,66.0,True,508-1
780,2493,510,1,Basic,Basic,1985,"Basic Building Set, 5+",,98.0,True,510-1
787,2543,515,1,Basic,Basic,1990,"Basic Building Set, 5+",,111.0,True,515-1
791,8697,517,2,Basic,Basic,1987,Basic Building Set 5+,,115.0,True,517-2
800,2594,520,1,Basic,Basic,1985,"Basic Building Set, 5+",1.0,165.0,True,520-1
811,2643,525,1,Basic,Basic,1990,"Basic Building Set, 5+",1.0,181.0,True,525-1
812,23500,527,1,Basic,Basic,1987,Basic Building Set,1.0,192.0,True,527-1
815,2691,530,1,Basic,Basic,1985,"Basic Building Set, 5+",2.0,269.0,True,530-1
819,2716,533,1,Basic,Basic,1984,"Basic Building Set, 5+",,89.0,True,533-1
822,2720,535,1,Basic,Basic,1990,"Basic Building Set, 5+",2.0,345.0,True,535-1
826,8736,537,1,Basic,Basic,1987,"Basic Building Set, 5+",2.0,259.0,True,537-1
828,2753,540,1,Basic,Basic,1985,"Basic Building Set, 5+",2.0,626.0,True,540-1
832,2780,544,1,Basic,Basic,1981,"Basic Building Set, 5+",1.0,141.0,True,544-1
833,2785,545,1,Basic,Basic,1990,"Basic Building Set, 5+",2.0,408.0,True,545-1
835,2792,547,1,Basic,Basic,1987,"Basic Building Set, 5+",2.0,563.0,True,547-1
836,2795,550,1,Basic,Basic,1985,"Basic Building Set, 5+",2.0,569.0,True,550-1
843,2806,555,2,Basic,Basic,1981,"Basic Building Set, 5+",2.0,246.0,True,555-2
845,2812,557,1,Basic,Basic,1987,"Basic Building Set, 5+",2.0,711.0,True,557-1
850,2823,565,2,Basic,Basic,1990,"Basic Building Set, 5+",2.0,364.0,True,565-2
851,2824,566,1,Basic,Basic,1981,"Basic Building Set, 5+",2.0,288.0,True,566-1
854,2850,577,1,Basic,Basic,1981,"Basic Building Set, 5+",2.0,384.0,True,577-1
859,2970,599,1,Basic,Basic,1982,"Basic Building Set, 5+",3.0,748.0,True,599-1
884,3063,610,2,Modern day,Town,1987,Rescue Helicopter,,39.0,True,610-2
888,5043,611,2,Modern day,Town,1988,Air Canada Jet Plane,,92.0,True,611-2
900,7325,620,3,Basic,Bricks and More,2010,Blue Building Plate,,1.0,True,620-3
907,3099,624,1,Basic,Basic,1996,"Basic Motor, 9V",,27.0,True,624-1
909,3116,626,1,Basic,Basic,1996,"Building Plate, Green",,1.0,True,626-1
911,3127,627,1,Basic,Basic,1996,"Building Plate, Blue",,1.0,True,627-1
912,5014,628,1,Basic,Basic,1996,X-Large Baseplate Grey,,1.0,True,628-1
914,3141,629,1,Basic,Basic,1996,Three Building Plates,,3.0,False,
915,3148,630,1,Basic,Basic,1996,"Brick Separator, Green",,1.0,True,630-1
917,9140,630,3,Basic,Bricks and More,2011,"Brick Separator, Orange",,1.0,True,630-3
918,3157,631,1,Basic,Basic,1996,Doors and Windows,,52.0,True,631-1
919,3168,632,1,Basic,Basic,1996,Wheels and Tyres,,60.0,True,632-1
920,3179,633,1,Basic,Basic,1996,Roof Tiles,,50.0,True,633-1
921,3190,634,1,Basic,Basic,1996,Extra Bricks in Red,,62.0,True,634-1
922,3200,635,1,Basic,Basic,1996,Extra Bricks in White,,62.0,True,635-1
923,3211,636,1,Basic,Basic,1996,"Pull Back Motor, 3+",,14.0,False,
924,3222,637,1,Basic,Basic,1996,Play Table,,3.0,False,
925,3234,638,1,Basic,Basic,1996,"Lots of Extra Basic Bricks, 3+",,404.0,True,638-1
926,3245,639,1,Basic,Basic,1996,"Lots of Extra Basic Bricks, 5+",,400.0,True,639-1
1006,3739,697,2,Miscellaneous,Books,1997,Building Ideas Book,,1.0,True,697-2
1035,3790,710,3,Basic,Basic,1983,"Basic Building Set, 7+",2.0,364.0,True,710-3
1044,3816,715,1,Basic,Basic,1990,"Basic Building Set, 7+",,395.0,True,715-1
1046,3834,720,1,Basic,Basic,1985,"Basic Building Set, 7+",1.0,334.0,True,720-1
1049,3844,722,1,Basic,Basic,1980,"Universal Building Set, 7+",,301.0,True,722-1
1054,3863,725,1,Basic,Basic,1990,"Basic Building Set, 7+",2.0,420.0,True,725-1
1060,3877,730,2,Basic,Basic,1985,"Basic Building Set, 7+",2.0,429.0,True,730-2
1061,3895,733,1,Basic,Basic,1980,"Universal Building Set, 7+",,533.0,True,733-1
1062,3900,735,1,Basic,Basic,1990,"Basic Building Set, 7+",,537.0,True,735-1
1063,3913,740,1,Basic,Basic,1985,"Basic Building Set, 7+",,516.0,True,740-1
1067,3935,744,1,Basic,Basic,1980,"Universal Building Set with Motor, 7+",,537.0,True,744-1
1080,22555,757,1,Miscellaneous,Gear,1983,Storage Tray Red,,,True,757-1
1081,22556,758,1,Miscellaneous,Gear,1983,Storage Tray Blue,,,True,758-1
1082,8417,759,1,Miscellaneous,Gear,1984,Storage Cabinet,,,True,759-1
1083,10172,760,1,Miscellaneous,Gear,1984,Storage Cabinet,,,False,
1088,10171,783,1,Miscellaneous,Gear,1985,Storage Case,,,True,783-1
1091,4054,789,1,Basic,Basic,1987,Storage Cloth,,1.0,True,789-1
1105,4081,800,2,Basic,Basic,1986,Extra Bricks Red,,120.0,True,800-2
1108,4092,801,2,Basic,Basic,1986,Extra Bricks Blue,,82.0,True,801-2
1110,10090,801,4,Junior,Fabuland,1984,Fabuland Characters,2.0,,True,801-4
1112,4097,802,2,Basic,Basic,1986,Extra Bricks White,,30.0,True,802-2
1114,4101,803,1,Basic,Basic,1986,Extra Bricks Yellow,,62.0,True,803-1
1117,4106,804,1,Basic,Basic,1986,Extra Bricks Black,,62.0,True,804-1
1119,4110,805,1,Basic,Basic,1986,Extra Bricks Grey,,62.0,True,805-1
1121,4114,806,1,Basic,Basic,1986,Extra Plates Blue,,42.0,False,
1123,4117,807,1,Basic,Basic,1986,Extra Plates Red,,42.0,False,
1124,4119,808,1,Basic,Basic,1986,Wheels and Tyres,,40.0,True,808-1
1125,4121,809,1,Basic,Basic,1986,Doors and Windows,,38.0,True,809-1
1126,4125,810,1,Basic,Basic,1985,Basic Motor Set,,34.0,True,810-1
1130,4126,811,1,Basic,Basic,1986,"Red Roof Bricks, Steep Pitch",,59.0,True,811-1
1132,4127,812,1,Basic,Basic,1986,"Red Roof Bricks, Shallow Pitch",,101.0,True,812-1
1134,4128,813,1,Basic,Basic,1986,"Baseplate, Green",,1.0,True,813-1
1136,4129,814,1,Basic,Basic,1986,"Baseplates, Green, Red and Yellow",,3.0,True,814-1
1138,4130,815,1,Basic,Basic,1986,"Baseplate, Grey",,1.0,True,815-1
1139,4131,816,1,Basic,Basic,1986,"Lighting Bricks, 4.5V",,18.0,True,816-1
1140,4132,818,1,Basic,Basic,1990,"Pull-Back Motor, Red",,8.0,True,818-1
1141,4133,819,1,Basic,Basic,1991,Blue baseplate,,1.0,True,819-1
1142,4135,820,1,Basic,Basic,1980,Red Plates Parts Pack,,34.0,True,820-1
1144,4143,821,1,Basic,Basic,1990,"Brick Separator, Grey",,1.0,True,821-1
1146,4151,822,1,Basic,Basic,1980,Blue Plates Parts Pack,,34.0,True,822-1
1150,4187,830,1,Basic,Basic,1980,Red Bricks Parts Pack,,46.0,True,830-1
1151,4191,831,1,Basic,Basic,1980,Black Bricks Parts Pack,,46.0,True,831-1
1152,4202,832,1,Basic,Basic,1980,Blue Bricks Parts Pack,,46.0,True,832-1
1153,4208,833,1,Basic,Basic,1980,White Bricks Parts Pack,,46.0,True,833-1
1154,4209,834,1,Basic,Basic,1980,Yellow Bricks Parts Pack,,46.0,True,834-1
1156,4218,836,1,Basic,Basic,1980,Doors and Windows Parts Pack,,37.0,True,836-1
1157,4226,837,1,Basic,Basic,1980,Wheels and Tyres Parts Pack,,28.0,True,837-1
1158,4233,838,1,Basic,Basic,1980,"Red Roof Bricks Parts Pack, 45°",,58.0,True,838-1
1159,4242,839,1,Basic,Basic,1980,"Red Roof Bricks Parts Pack, 33°",,42.0,True,839-1
1160,4243,840,1,Basic,Basic,1980,"Baseplate, Green",,1.0,True,840-1
1161,4245,841,1,Basic,Basic,1980,"Baseplates, Green and Yellow",,2.0,True,841-1
1162,4249,842,1,Basic,Basic,1980,"Baseplates, Red and Blue",,2.0,False,
1164,4254,843,1,Basic,Basic,1980,"Baseplate, Grey",,1.0,True,843-1
1165,4272,845,1,Basic,Basic,1992,"Battery Motor, 9V",,27.0,True,845-1
1166,4282,846,1,Basic,Basic,1992,"Lighting Set, 9V",,39.0,True,846-1
1175,4382,858,1,Technical,Technic,1980,Auto Engines,,242.0,True,858-1
1189,4517,890,1,Basic,Basic,1981,Wind-Up Motor,,10.0,True,890-1
1193,4520,895,1,Basic,Basic,1985,Wind-Up Motor,,10.0,True,895-1
1234,22620,952,2,Educational,Dacta,1987,TC logo - Activity Book Box Set,,,True,952-2
1257,7812,1000,1,Educational,Dacta,1986,Mosaic Set,,191.0,True,1000-1
1259,7814,1012,1,Educational,Dacta,1984,Mosaic Set,,,True,1012-1
1260,7815,1013,1,Educational,Dacta,1985,Numbers - 6 symbols,,,True,1013-1
1261,7816,1014,2,Educational,Dacta,1986,"Mosaic Set (Pets: dogs, cats, hens, rabbits)",,80.0,True,1014-2
1262,7817,1015,1,Educational,Dacta,1985,Letters Large,,192.0,True,1015-1
1263,7818,1016,1,Educational,Dacta,1985,Letter Bricks for Wall Board,,,True,1016-1
1265,7820,1018,1,Educational,Dacta,1985,Letters Small,,,True,1018-1
1266,7821,1019,1,Educational,Dacta,1986,Mosaic Set (Lion),,20.0,True,1019-1
1267,7822,1020,1,Educational,Dacta,1986,Basic Bricks - 90 elements,,86.0,True,1020-1
1268,7823,1021,1,Educational,Dacta,1986,Basic Vehicles - 78 elements,12.0,94.0,True,1021-1
1269,7824,1022,1,Educational,Dacta,1986,Mini Basic Bricks - 29 elements,2.0,29.0,True,1022-1
1270,7825,1023,1,Educational,Dacta,1986,Giant Red Baseplate,,1.0,False,
1271,7826,1024,1,Educational,Dacta,1985,Animals - 32 elements,,32.0,False,
1272,7827,1025,1,Educational,Dacta,1985,Figures and Furniture,6.0,35.0,True,1025-1
1273,7828,1026,1,Educational,Dacta,1985,Play Boxes from 2 yrs,,2.0,True,1026-1
1274,7829,1027,1,Educational,Dacta,1985,Vehicles,6.0,30.0,True,1027-1
1275,7830,1028,1,Educational,Dacta,1986,6 x 12 Base Bricks,,6.0,True,1028-1
1276,122,1029,1,Modern day,Town,1999,Milk Delivery Truck,1.0,95.0,True,1029-1
1277,5047,1030,1,Educational,Dacta,1985,Technic I Simple Machines Set,,179.0,True,1030-1
1278,7831,1031,1,Educational,Dacta,1983,Building Cards - 1030,,20.0,True,1031-1
1279,5048,1032,1,Educational,Dacta,1984,Technic II Powered Machines Set,,278.0,True,1032-1
1280,7832,1033,1,Educational,Dacta,1985,Building Cards - 1032,,20.0,True,1033-1
1281,5049,1034,1,Educational,Dacta,1985,Teachers Resource Set,,1501.0,True,1034-1
1282,5016,1038,1,Educational,Dacta,1985,Universal Buggy,,119.0,True,1038-1
1283,7833,1039,1,Educational,Dacta,1986,Manual Control Set 1,,46.0,True,1039-1
1284,7834,1040,1,Educational,Dacta,1991,Farm,4.0,89.0,False,
1285,5050,1040,2,Educational,Dacta,1986,Farm Set,4.0,82.0,True,1040-2
1286,7835,1041,1,Educational,Dacta,1986,Harbour,6.0,77.0,True,1041-1
1287,7836,1041,2,Educational,Dacta,1980,Educational Duplo Building Set,,68.0,True,1041-2
1288,7837,1042,1,Educational,Dacta,1986,Community People,12.0,12.0,True,1042-1
1289,5051,1043,1,Educational,Dacta,1986,Farm Animals Set,,30.0,True,1043-1
1290,7838,1044,1,Educational,Dacta,1986,Community Vehicles,6.0,33.0,True,1044-1
1291,7839,1045,1,Educational,Dacta,1986,Industrial Elements,,20.0,True,1045-1
1293,7841,1046,1,Educational,Dacta,1986,Train Set,6.0,61.0,True,1046-1
1294,7843,1047,1,Educational,Dacta,1986,Extra Track,,12.0,True,1047-1
1295,7844,1048,1,Educational,Dacta,1986,Bridge and Crossing Tracks,,12.0,True,1048-1
1296,7845,1049,1,Educational,Dacta,1985,Ships,3.0,241.0,True,1049-1
1297,7846,1050,1,Educational,Dacta,1986,Basic Pack,6.0,,True,1050-1
1298,7842,1050,2,Educational,Dacta,1980,Universal set for boys and girls,,,True,1050-2
1299,7847,1051,1,Educational,Dacta,1984,Basic Pack,,,True,1051-1
1300,7848,1052,1,Educational,Dacta,1984,{Spare Elements},,,True,1052-1
1301,7849,1053,1,Educational,Dacta,1984,Community Buildings,,914.0,True,1053-1
1302,124,1054,1,Miscellaneous,Promotional,1999,Stena Line Ferry,,212.0,True,1054-1
1303,7850,1055,1,Educational,Dacta,1983,Mini Basic Pack,,,False,
1304,7851,1056,1,Educational,Dacta,1985,Basic School Pack - Topical/Thematic work,,809.0,True,1056-1
1305,7852,1060,1,Educational,Dacta,1981,Road Plates and Signs,,30.0,True,1060-1
1306,126,1061,1,Technical,Technic,1999,Single Disc Pack,,1.0,True,1061-1
1307,7853,1062,1,Educational,Dacta,1980,{Town Vehicles},6.0,172.0,True,1062-1
1308,6512,1063,1,Educational,Dacta,1985,Community Workers,24.0,115.0,True,1063-1
1309,7854,1064,1,Educational,Dacta,1981,Dacta Buildings,6.0,,True,1064-1
1310,7855,1065,1,Educational,Dacta,1985,House Accessories,,184.0,True,1065-1
1311,6513,1066,1,Educational,Dacta,1982,Little People with Accessories,36.0,138.0,True,1066-1
1312,7856,1067,1,Educational,Dacta,1988,Community Vehicles,14.0,203.0,True,1067-1
1313,127,1068,1,Modern day,Town,1999,Air Patrol,1.0,20.0,True,1068-1
1314,128,1069,1,Modern day,Town,1999,Speedboat,1.0,22.0,True,1069-1
1315,131,1070,1,Modern day,Town,1999,Stunt Flyer,1.0,20.0,True,1070-1
1316,7857,1071,1,Educational,Dacta,1986,Bricks 2 x 2 and 2 x 4,,56.0,True,1071-1
1319,7859,1075,1,Educational,Dacta,1980,LEGO People Supplementary Set,,304.0,True,1075-1
1320,132,1076,1,Basic,Basic,1999,Advent Calendar,,229.0,True,1076-1
1321,7860,1076,2,Educational,Dacta,1980,LEGO Car and Truck Supplementary Set,,,True,1076-2
1323,7862,1078,1,Educational,Dacta,1987,Animal Mosaic Puzzle,,80.0,True,1078-1
1324,7863,1079,1,Educational,Dacta,1987,Animal Mosaic Puzzle,,80.0,True,1079-1
1325,7864,1082,1,Educational,Dacta,1982,Roof Bricks,,336.0,True,1082-1
1326,7865,1083,1,Educational,Dacta,1986,Supplementary Pack,,128.0,True,1083-1
1328,7867,1084,1,Educational,Dacta,1984,{Spare Elements - Structures},,,True,1084-1
1329,7868,1085,1,Educational,Dacta,1985,Large Baseplate 48 x 48,,1.0,False,
1330,133,1086,1,Pre-school,Duplo,2000,Bulk Bucket,,48.0,True,1086-1
1331,7869,1087,1,Educational,Dacta,1985,6 Lego Baseplates 8 x 16 Green,,6.0,True,1087-1
1332,134,1088,1,Modern day,Town,1999,Road Burner,,25.0,True,1088-1
1333,7870,1089,1,Educational,Dacta,1985,Lego Basic Figures,24.0,24.0,True,1089-1
1334,6516,1090,1,Educational,Dacta,1986,Technic Control 1,,404.0,True,1090-1
1336,7872,1092,1,Educational,Dacta,1986,Technic Control II,,463.0,True,1092-1
1337,23130,1093,1,Educational,Dacta,1986,Interface A,,,True,1093-1
1338,135,1094,1,Historical,Adventurers,1999,Johnny Thunder,1.0,13.0,True,1094-1
1339,136,1095,1,Action/Adventure,Aquazone,1999,Super Sub,1.0,24.0,True,1095-1
1340,137,1096,1,Modern day,Town,1999,Race Buggy,1.0,23.0,True,1096-1
1341,138,1097,1,Modern day,Town,1999,Res-Q Runner,1.0,18.0,True,1097-1
1342,139,1098,1,Modern day,Town,1999,Hang Glider,1.0,19.0,True,1098-1
1343,140,1099,1,Historical,Castle,1999,Ninja Blaster,1.0,24.0,True,1099-1
1344,142,1100,1,Modern day,Town,2001,Sky Pirates,2.0,109.0,True,1100-1
1345,143,1101,1,Miscellaneous,Service Packs,1980,Replacement 4.5V Motor,,1.0,True,1101-1
1346,144,1102,1,Miscellaneous,Service Packs,1980,Four Motor Wheel Bushes,,4.0,True,1102-1
1347,145,1103,1,Miscellaneous,Service Packs,1980,Battery Box,,1.0,False,
1348,146,1104,1,Miscellaneous,Service Packs,1980,Two Connector Leads,,2.0,False,
1349,147,1105,1,Miscellaneous,Service Packs,1980,Two Rubber Crawler Tracks,,2.0,True,1105-1
1350,148,1106,1,Miscellaneous,Service Packs,1980,Battery Tender for Trains,,2.0,False,
1351,149,1106,2,Basic,Basic,1999,"Basic Building Set, 5+",2.0,411.0,True,1106-2
1352,150,1107,1,Miscellaneous,Service Packs,1980,Two Shunting Trip-Posts and One Signal,,4.0,True,1107-1
1353,151,1108,1,Miscellaneous,Service Packs,1980,Two Pairs of Magnetic Couplings,,4.0,False,
1355,153,1110,1,Miscellaneous,Service Packs,1980,Four Locomotive Wheels,,8.0,False,
1356,154,1111,1,Miscellaneous,Service Packs,1980,Eight Rubber Rims for Locomotive Wheels,,8.0,False,
1358,155,1113,1,Miscellaneous,Service Packs,1980,Motor Frame 6 x 16 Stud Plus Four Buffers,,5.0,True,1113-1
1359,156,1114,1,Miscellaneous,Service Packs,1980,Motor Frame 6 x 22 Stud,,1.0,True,1114-1
1360,157,1115,1,Miscellaneous,Service Packs,1980,"Lighting Brick, 4.5V",,1.0,False,
1363,160,1120,1,Miscellaneous,Service Packs,1980,"Two Tyres, 42 mm Diameter",,2.0,True,1120-1
1365,162,1122,1,Miscellaneous,Service Packs,1980,Hinge Units,,3.0,False,
1366,163,1123,1,Miscellaneous,Service Packs,1980,Ball and Socket Couplings & One Articulated Joint,,8.0,True,1123-1
1368,165,1125,1,Miscellaneous,Service Packs,1980,Crane Grab Assembly,,3.0,False,
1369,22612,1126,1,Miscellaneous,Service Packs,1983,Jack,,2.0,True,1126-1
1370,166,1127,1,Miscellaneous,Seasonal,1999,Santa,,39.0,True,1127-1
1371,167,1128,1,Miscellaneous,Seasonal,1999,Santa on Skis,,21.0,True,1128-1
1372,168,1129,1,Miscellaneous,Seasonal,1999,Santa on Reindeer,,34.0,True,1129-1
1373,169,1129,2,Miscellaneous,Service Packs,1980,Spread Bag,,34.0,False,
1374,171,1130,1,Miscellaneous,Service Packs,1980,Plastic Folder for Building Instructions,,1.0,True,1130-1
1375,26967,1134,1,Miscellaneous,Service Packs,1981,Battery Wagon,,4.0,False,
1376,26968,1135,1,Miscellaneous,Service Packs,1981, Battery Cable Kit,,13.0,False,
1377,26969,1136,1,Miscellaneous,Service Packs,1981,"Buffers, Magnetic Couplers",,6.0,False,
1378,26970,1137,1,Miscellaneous,Service Packs,1981,Train Couplings,,4.0,False,
1379,26971,1138,1,Miscellaneous,Service Packs,1981,Replacement Rubber Wheel Treads for Trains,,8.0,False,
1380,26972,1139,1,Miscellaneous,Service Packs,1981,Motor-Mount Plate with Magnetic Couplers,,5.0,False,
1381,26973,1140,1,Miscellaneous,Service Packs,1981,12V Light Bricks,,2.0,False,
1382,26974,1141,1,Miscellaneous,Service Packs,1981,Wheel Bricks with Small Red Train Wheels,,2.0,False,
1383,26975,1142,1,Miscellaneous,Service Packs,1981,Wheel Bricks with Small Black Train-Wheels,,2.0,False,
1384,26976,1143,1,Miscellaneous,Service Packs,1981,Wheel Bricks with Large Red Train Wheels,,2.0,False,
1385,26977,1144,1,Miscellaneous,Service Packs,1981,Train Baseplate,,2.0,False,
1386,26978,1145,1,Miscellaneous,Service Packs,1981, Bogie Plate,,2.0,False,
1387,26979,1146,1,Miscellaneous,Service Packs,1981,"Pushrods, Cylinder Housings",,6.0,False,
1388,26980,1147,1,Miscellaneous,Service Packs,1981,"Light Prisms & Holder, Red/Yellow Light Covers",,7.0,True,1147-1
1389,173,1149,1,Modern day,Town,2002,Air Police,,24.0,True,1149-1
1393,22613,1161,1,Miscellaneous,Service Packs,1983,Pump cylinder,,1.0,True,1161-1
1394,22438,1166,1,Pre-school,Duplo,2003,Stack-n-Learn Gift Item,2.0,42.0,False,
1397,174,1177,1,Modern day,Town,2000,Santa's Truck,1.0,27.0,True,1177-1
1398,26886,1179,1,Miscellaneous,Service Packs,1986,Replacement Space Siren,,,False,
1399,175,1180,1,Modern day,Town,1999,Space Port Moon Buggy,1.0,25.0,True,1180-1
1400,176,1181,1,Modern day,Town,1999,Space Jet,1.0,23.0,True,1181-1
1401,177,1182,1,Historical,Adventurers,1999,Adventurers Raft,1.0,18.0,True,1182-1
1402,178,1183,1,Historical,Adventurers,1999,Mummy and Cart,1.0,17.0,True,1183-1
1403,179,1184,1,Historical,Castle,1999,Cart,1.0,24.0,True,1184-1
1404,180,1185,1,Historical,Castle,1999,Raft,1.0,25.0,True,1185-1
1405,181,1186,1,Historical,Castle,1999,Cart,1.0,25.0,True,1186-1
1406,182,1187,1,Historical,Castle,1999,Glider,1.0,23.0,True,1187-1
1407,183,1188,1,Modern day,Town,1999,Fire Formula,1.0,38.0,True,1188-1
1408,184,1189,1,Modern day,Town,1999,Rocket Boat,1.0,30.0,True,1189-1
1409,185,1190,1,Modern day,Town,1999,Retro Buggy,1.0,45.0,True,1190-1
1410,186,1191,1,Modern day,Town,1999,Try Bird,1.0,34.0,True,1191-1
1411,187,1192,1,Pre-school,Primo,1999,Stack N' Learn Gift Box,2.0,38.0,True,1192-1
1412,4999,1193,1,Pre-school,Duplo,1999,Water Park Tub ,2.0,44.0,True,1193-1
1413,5000,1194,1,Basic,Classic,1999,Birthday Table Set,,400.0,True,1194-1
1414,188,1195,1,Action/Adventure,Space,2001,Alien Encounter,2.0,42.0,True,1195-1
1415,189,1196,1,Modern day,Town,2000,Telekom Race Cyclist,1.0,7.0,True,1196-1
1416,190,1197,1,Modern day,Town,2000,Telekom Race Cyclist and Television Motorbike,3.0,26.0,True,1197-1
1417,191,1198,1,Modern day,Town,2000,Telekom Race Cyclists and Service Crew,3.0,81.0,True,1198-1
1418,192,1199,1,Modern day,Town,2000,Telekom Race Cyclists and Winners' Podium,8.0,129.0,True,1199-1
1421,26888,1201,1,Miscellaneous,Service Packs,1982,Hooks,,,False,
1422,22439,1201,2,Pre-school,Duplo,2001,Chicken Run,,,False,
1423,193,1202,1,Racing,Racers,2001,Single Racers Figure Pack,,1.0,True,1202-1
1424,22614,1205,1,Miscellaneous,Service Packs,1982,Keys for wind-up motor,,2.0,True,1205-1
1425,9119,1209,1,Miscellaneous,Service Packs,1982,{Fences and Gates},,10.0,True,1209-1
1427,195,1211,1,Miscellaneous,Service Packs,1982,Space Stands and Brackets,,8.0,False,
1438,24044,1221,1,Miscellaneous,Service Packs,1982,Yellow beams,,8.0,False,
1440,24046,1222,1,Miscellaneous,Service Packs,1982,Blue beams,,8.0,False,
1442,24047,1223,1,Miscellaneous,Service Packs,1982,Black beams,,8.0,False,
1445,24045,1224,1,Miscellaneous,Service Packs,1982,Red beams,,8.0,False,
1448,22615,1226,1,Miscellaneous,Service Packs,1982,Tractor wheels and tyres,,12.0,True,1226-1
1462,196,1237,1,Technical,Technic,2001,Honda Asimo,,56.0,True,1237-1
1464,22440,1238,1,Pre-school,Duplo,2001,Medium Bucket,,,False,
1465,197,1239,1,Racing,Racers,2001,Subzero,,4.0,True,1239-1
1470,198,1246,1,Modern day,Town,1999,Helicopter,1.0,26.0,True,1246-1
1471,199,1247,1,Modern day,Town,1999,Patrol Car,1.0,32.0,True,1247-1
1473,200,1248,1,Modern day,Town,1999,Fire Boat,1.0,24.0,True,1248-1
1475,201,1249,1,Modern day,Town,1999,Tri-motorbike,1.0,14.0,True,1249-1
