Number,Name,Theme - Subtheme,Year,Pieces,Minifigs
1041-2,Educational Duplo Building Set,Dacta,1980,68,
1050-2,Universal set for boys and girls,Dacta,1980,,
1062-1,{Town Vehicles},Dacta,1980,172,6
1075-1,LEGO People Supplementary Set,Dacta,1980,304,
1076-2,LEGO Car and Truck Supplementary Set,Dacta,1980,,
1101-1,Replacement 4.5V Motor,Service Packs,1980,1,
1102-1,Four Motor Wheel Bushes,Service Packs,1980,4,
1103-1,Battery Box,Service Packs,1980,1,
1104-1,Two Connector Leads,Service Packs,1980,2,
1105-1,Two Rubber Crawler Tracks,Service Packs,1980,2,
1106-1,Battery Tender for Trains,Service Packs - Trains,1980,2,
1107-1,Two Shunting Trip-Posts and One Signal,Service Packs - Trains,1980,4,
1108-1,Two Pairs of Magnetic Couplings,Service Packs - Trains,1980,4,
1110-1,Four Locomotive Wheels,Service Packs - Trains,1980,8,
1111-1,Eight Rubber Rims for Locomotive Wheels,Service Packs - Trains,1980,8,
1113-1,Motor Frame 6 x 16 Stud Plus Four Buffers,Service Packs,1980,5,
1114-1,Motor Frame 6 x 22 Stud,Service Packs,1980,1,
1115-1,"Lighting Brick, 4.5V",Service Packs,1980,1,
1120-1,"Two Tyres, 42 mm Diameter",Service Packs,1980,2,
1122-1,Hinge Units,Service Packs,1980,3,
1123-1,Ball and Socket Couplings & One Articulated Joint,Service Packs,1980,8,
1125-1,Crane Grab Assembly,Service Packs,1980,3,
1129-2,Spread Bag,Service Packs,1980,34,
1130-1,Plastic Folder for Building Instructions,Service Packs,1980,1,
1591-1,Danone Delivery Truck,Town - Special,1980,40,
1592-1,Town Square - Castle Scene,Town - Classic,1980,471,11
1651-2,Maersk Line Container Lorry,Town - Special,1980,305,1
2053-1,Rock 'n' Roll Pull-Toy,Duplo,1980,4,1
2056-1,Rock 'n' Rattle Pull-Toy,Duplo,1980,6,1
2620-1,Sports Car,Duplo,1980,2,1
2623-1,Delivery Van,Duplo,1980,6,1
2625-1,Car with Boat and Trailer,Duplo,1980,6,1
2627-1,Pony Trailer,Duplo,1980,5,1
2630-1,Family Room,Duplo,1980,9,3
2640-1,Grocery Store,Duplo,1980,23,2
2643-2,Playbox,Duplo,1980,1,
2645-1,Nursery School,Duplo,1980,29,6
2650-1,Farm,Duplo,1980,60,5
3602-1,Pram - Lisa Lamb Goes Walking,Fabuland,1980,3,1
3604-1,Mark Monkey with his Fruit Stall,Fabuland,1980,3,1
3605-1,Ricky Racoon and his Scooter,Fabuland,1980,1,1
3634-1,Charlie Crow's Carry-All,Fabuland,1980,17,1
3665-1,Harry Horse and Clara Cow's Ice Cream Shoppe,Fabuland,1980,36,2
4306-1,Rings,Scala - Jewellery,1980,15,
4307-1,Rings,Scala - Jewellery,1980,15,
4336-1,Picture Frame and Mirror,Scala - Jewellery,1980,52,
5233-1,Bedroom,Homemaker,1980,26,1
6000-1,LEGOLAND Idea Book,Books - LEGO,1980,,
6304-1,"Road Plates, Cross",Town - Accessories,1980,2,
6305-1,Trees and Flowers,Town - Accessories,1980,12,
6306-1,Road Signs,Town - Accessories,1980,12,
6363-1,Auto Repair Shop,Town - Shops and Services,1980,141,1
6364-1,Paramedic Unit,Town - Medical,1980,137,2
6375-2,Exxon Gas Station,Town - Shops and Services,1980,267,3
6390-1,Main Street,Town - Shops and Services,1980,591,8
6609-1,Race Car,Town - Racing,1980,17,1
6627-1,Convertible,Town - Vehicles,1980,37,1
6647-1,Highway Repair,Town - Maintenance,1980,55,1
6648-2,Dump Truck,Town - Construction,1980,42,1
6678-1,Pneumatic Crane,Town - Construction,1980,60,1
6679-2,Exxon Tow Truck,Town - Vehicles,1980,79,1
6690-1,Snorkel Pumper,Town - Fire,1980,91,2
6821-1,Shovel Buggy,Space - Classic,1980,28,1
6841-1,Mineral Detector,Space - Classic,1980,44,1
6861-1,X1 Patrol Craft,Space - Classic,1980,55,1
6901-1,Mobile Lab,Space - Classic,1980,135,2
6970-1,Beta I Command Base,Space - Classic,1980,264,4
722-1,"Universal Building Set, 7+",Basic,1980,301,
733-1,"Universal Building Set, 7+",Basic,1980,533,
744-1,"Universal Building Set with Motor, 7+",Basic,1980,537,
7710-1,Push-Along Passenger Steam Train,Trains - 4.5/12 V,1980,447,5
7720-1,Diesel Freight Train Set,Trains - 4.5/12 V,1980,425,3
7730-1,Electric Goods Train Set,Trains - 4.5/12 V,1980,512,2
7740-1,Inter-City Passenger Train Set,Trains - 4.5/12 V,1980,786,10
7750-1,Steam Engine with Tender,Trains - 4.5/12 V,1980,263,2
7760-1,Diesel Shunter Locomotive,Trains - 4.5/12 V,1980,150,2
7810-1,Push-Along Steam Engine,Trains - 4.5/12 V,1980,97,1
7814-1,Crane Wagon,Trains - 4.5/12 V,1980,113,2
7816-1,Shell Tanker Wagon,Trains - 4.5/12 V,1980,120,1
7818-1,Passenger Coach,Trains - 4.5/12 V,1980,114,2
7820-1,Mail Van,Trains - 4.5/12 V,1980,212,2
7822-1,Railway Station,Trains - 4.5/12 V,1980,384,3
7834-1,Level Crossing,Trains - 4.5/12 V,1980,91,1
7850-1,8 Straight Rails Grey 4.5 V,Trains - 4.5/12 V,1980,32,
7851-1,8 Curved Rails Grey 4.5 V,Trains - 4.5/12 V,1980,32,
7852-1,Left and Right Points Manual Grey 4.5 V,Trains - 4.5/12 V,1980,14,
7853-1,"Crossing, Grey 4.5 V",Trains - 4.5/12 V,1980,5,
7854-1,8 Straight Electric Rails Grey 12 V,Trains - 4.5/12 V,1980,8,
7855-1,8 Curved Electric Rails Grey 12 V,Trains - 4.5/12 V,1980,8,
7856-1,Left and Right Manual Points with Electric Rails Grey 12 V,Trains - 4.5/12 V,1980,16,
7857-1,"Crossing, Electric Rails Grey 12 V",Trains - 4.5/12 V,1980,5,
7858-1,Remote Controlled Points Right 12 V,Trains - 4.5/12 V,1980,12,
7859-1,Remote Controlled Points Left 12 V,Trains - 4.5/12 V,1980,12,
7860-1,Remote Controlled Signal 12 V,Trains - 4.5/12 V,1980,24,
7861-1,Lighting Set Electric 12 V,Trains - 4.5/12 V,1980,28,
7863-1,Remote Controlled Point Motor 12 V,Trains - 4.5/12 V,1980,7,
7864-1,Transformer / Speed Controller 12 V,Trains - 4.5/12 V,1980,33,
7865-1,Motor Replacement Unit for Battery or Motor-Less Trains 12 V,Trains - 4.5/12 V,1980,19,
820-1,Red Plates Parts Pack,Basic - Supplementaries,1980,34,
822-1,Blue Plates Parts Pack,Basic - Supplementaries,1980,34,
830-1,Red Bricks Parts Pack,Basic - Supplementaries,1980,46,
831-1,Black Bricks Parts Pack,Basic - Supplementaries,1980,46,
832-1,Blue Bricks Parts Pack,Basic - Supplementaries,1980,46,
833-1,White Bricks Parts Pack,Basic - Supplementaries,1980,46,
834-1,Yellow Bricks Parts Pack,Basic - Supplementaries,1980,46,
836-1,Doors and Windows Parts Pack,Basic - Supplementaries,1980,37,
837-1,Wheels and Tyres Parts Pack,Basic - Supplementaries,1980,28,
838-1,"Red Roof Bricks Parts Pack, 45°",Basic - Supplementaries,1980,58,
839-1,"Red Roof Bricks Parts Pack, 33°",Basic - Supplementaries,1980,42,
840-1,"Baseplate, Green",Basic - Supplementaries,1980,1,
841-1,"Baseplates, Green and Yellow",Basic - Supplementaries,1980,2,
842-1,"Baseplates, Red and Blue",Basic - Supplementaries,1980,2,
843-1,"Baseplate, Grey",Basic - Supplementaries,1980,1,
858-1,Auto Engines,Technic,1980,242,
8857-2,Motorcycles,Technic,1980,377,
8858-2,Auto Engines,Technic,1980,460,
8860-1,Car Chassis,Technic,1980,668,
8888-1,Ideas Book,Books - LEGO,1980,,
KCP03-1,WWF Female Minifigure Key Chain,Gear - Key Chains/Promotional,1980,,
1-11,Basic Souvenir Box,Basic,1981,38,
226-2,Building Ideas Book,Books - LEGO,1981,,
322-1,Basic Set,Basic,1981,82,
333-1,Basic Set,Basic,1981,98,2
355-2,Universal Building Set,Basic,1981,181,2
366-1,Basic Building Set,Basic,1981,184,2
544-1,"Basic Building Set, 5+",Basic,1981,141,1
555-2,"Basic Building Set, 5+",Basic,1981,246,2
566-1,"Basic Building Set, 5+",Basic,1981,288,2
577-1,"Basic Building Set, 5+",Basic,1981,384,2
890-1,Wind-Up Motor,Basic - Supplementaries,1981,10,
1060-1,Road Plates and Signs,Dacta,1981,30,
1064-1,Dacta Buildings,Dacta,1981,,6
1134-1,Battery Wagon,Service Packs - Trains,1981,4,
1135-1,Battery Cable Kit,Service Packs - Trains,1981,13,
1136-1,"Buffers, Magnetic Couplers",Service Packs - Trains,1981,6,
1137-1,Train Couplings,Service Packs - Trains,1981,4,
1138-1,Replacement Rubber Wheel Treads for Trains,Service Packs - Trains,1981,8,
1139-1,Motor-Mount Plate with Magnetic Couplers,Service Packs - Trains,1981,5,
1140-1,12V Light Bricks,Service Packs - Trains,1981,2,
1141-1,Wheel Bricks with Small Red Train Wheels,Service Packs - Trains,1981,2,
1142-1,Wheel Bricks with Small Black Train-Wheels,Service Packs - Trains,1981,2,
1143-1,Wheel Bricks with Large Red Train Wheels,Service Packs - Trains,1981,2,
1144-1,Train Baseplate,Service Packs - Trains,1981,2,
1145-1,Bogie Plate,Service Packs - Trains,1981,2,
1146-1,"Pushrods, Cylinder Housings",Service Packs - Trains,1981,6,
1147-1,"Light Prisms & Holder, Red/Yellow Light Covers",Service Packs - Trains,1981,7,
1581-1,Silja Line Ferry,Promotional - Ferries,1981,182,
2330-1,Basic Set,Duplo,1981,9,1
2340-1,Basic Set,Duplo,1981,17,1
2350-1,Basic Building Set,Duplo,1981,22,2
2360-1,Basic Set,Duplo,1981,32,3
2370-1,Basic Set,Duplo,1981,45,4
2624-1,Helicopter,Duplo,1981,2,1
2644-1,Service Station,Duplo,1981,14,2
3601-1,Elton Elephant,Fabuland,1981,6,1
3603-1,Boris Bulldog and Mailbox,Fabuland,1981,5,1
3615-1,Percy Pig,Fabuland,1981,4,1
3628-1,Perry Panda and Chester Chimp,Fabuland,1981,3,2
3629-1,Barney Bear,Fabuland,1981,16,1
3635-1,Bonnie Bunny's Camper,Fabuland,1981,25,1
6075-2,Castle,Castle - Classic,1981,767,14
6077-1,Knight's Procession,Castle - Classic,1981,48,6
6083-1,Knight's Joust,Castle - Classic,1981,211,6
6365-1,Summer Cottage,Town - Leisure,1981,144,1
6382-1,Fire Station,Town - Fire,1981,390,4
6383-1,Public Works Center,Town - Maintenance,1981,421,4
6600-1,Police Patrol,Town - Classic,1981,23,1
6602-1,Fire Unit I,Town - Classic,1981,29,1
6610-1,Gas Pumps,Town - Shops and Services,1981,29,1
6611-1,Fire Chief's Car,Town - Fire,1981,20,1
6626-1,Rescue Helicopter,Town - Classic,1981,37,
6628-1,Shell Tow Truck,Town - Vehicles,1981,38,
6629-1,Ambulance,Town - Medical,1981,39,1
6630-1,Bucket Loader,Town - Construction,1981,34,1
6650-1,Fire and Rescue Van,Town - Fire,1981,46,1
6680-1,Ambulance,Town - Medical,1981,63,2
6681-1,Police Van,Town - Police,1981,82,1
6691-1,Red Cross Helicopter,Town - Medical,1981,107,2
6801-1,Moon Buggy,Space - Classic,1981,22,1
6822-1,Space Digger,Space - Classic,1981,33,1
6842-1,Small Space Shuttle Craft,Space - Classic,1981,46,1
6870-1,Space Probe Launcher,Space - Classic,1981,60,1
6927-1,All-Terrain Vehicle,Space - Classic,1981,170,2
6929-1,Star Fleet Voyager,Space - Classic,1981,242,1
7725-1,Electric Passenger Train Set,Trains - 4.5/12 V,1981,485,1
7777-1,Trains Ideas Book,Books - LEGO,1981,,
7862-1,Remote Controlled Decoupling and Signal 12 V,Trains - 4.5/12 V,1981,16,
8710-1,Technical Elements,Technic - Supplementary,1981,124,
8844-1,Helicopter,Technic,1981,316,
8845-1,Dune Buggy,Technic,1981,174,
8848-1,Power Truck,Technic,1981,398,
8859-1,Tractor,Technic,1981,610,
599-1,"Basic Building Set, 5+",Basic,1982,748,3
1066-1,Little People with Accessories,Dacta - Town,1982,138,36
1082-1,Roof Bricks,Dacta,1982,336,
1201-1,Hooks,Service Packs,1982,,
1205-1,Keys for wind-up motor,Service Packs,1982,2,
1209-1,{Fences and Gates},Service Packs,1982,10,
1211-1,Space Stands and Brackets,Service Packs - Space,1982,8,
1221-1,Yellow beams,Service Packs - Technic,1982,8,
1222-1,Blue beams,Service Packs - Technic,1982,8,
1223-1,Black beams,Service Packs - Technic,1982,8,
1224-1,Red beams,Service Packs - Technic,1982,8,
1226-1,Tractor wheels and tyres,Service Packs,1982,12,
1590-2,Breakdown Assistance,Town - Special,1982,233,4
1600-1,Pampers Gift Pack,Duplo,1982,5,1
1656-2,Viking Line Ferry,Promotional - Ferries,1982,244,
1658-1,Viking Line Ferry 'Viking Saga',Promotional - Ferries,1982,207,
1905-1,Mini Building Set,Basic,1982,36,
1910-1,3+ Building Set,Basic,1982,85,
1920-1,Promo Basic Set,Basic,1982,115,
1922-2,Basic Building Set with Storage Case,Basic,1982,52,
2302-1,Building Plate Red,Duplo,1982,1,
2306-2,Supplementary Bricks,Duplo,1982,18,
2308-1,Basic Set,Duplo,1982,,
2622-1,Little Plane,Duplo,1982,2,1
2635-1,Fire Engine,Duplo,1982,4,1
2641-1,Barnyard,Duplo,1982,21,1
2642-1,Living Room,Duplo,1982,26,4
2648-1,Play-Box Home and Garage,Duplo,1982,18,2
3654-1,Lisa Lamb's House,Fabuland,1982,32,1
3666-1,Billy Bear and Mortimer Mouse's Service Station,Fabuland,1982,28,2
3667-1,Pat and Freddy's Shop,Fabuland,1982,58,2
3669-1,Fire Station,Fabuland,1982,33,3
3672-1,The Motel,Fabuland,1982,60,3
3678-1,Lionel Lion's Lodge,Fabuland,1982,123,4
3694-1,Figure collection,Fabuland,1982,,
3695-1,Figure collection,Fabuland,1982,,80
3701-1,Charlie Cat the fisherman,Fabuland,1982,2,1
3703-1,Peter Pig the Cook,Fabuland,1982,2,1
3704-1,Marjorie Mouse,Fabuland,1982,2,1
3706-1,Ernie Elephant,Fabuland,1982,2,1
3707-1,Clara Cow,Fabuland,1982,2,1
3708-1,Rufus Rabbit,Fabuland,1982,3,1
3781-1,Maximillian Mouse,Fabuland,1982,4,1
3782-1,Paul Parrot,Fabuland,1982,4,1
3784-1,Hugo Hog the Tinker,Fabuland,1982,4,1
3786-1,Boris Bulldog,Fabuland,1982,8,1
4005-1,Tug Boat,Boats,1982,66,1
4015-1,Freighter,Boats,1982,80,2
4025-1,Fire Boat,Boats,1982,150,3
5235-2,Schoolroom,Homemaker,1982,231,
6302-1,Mini-Figure Set,Town - Accessories,1982,25,6
6308-1,Policemen,Town - Accessories,1982,20,4
6362-1,Post Office,Town - Postal,1982,133,1
6372-1,Town House,Town - Leisure,1982,217,2
6607-1,Service Truck,Town - Maintenance,1982,25,1
6608-1,Tractor,Town - Maintenance,1982,21,1
6651-1,Mail Truck,Town - Postal,1982,47,1
6653-1,Highway Maintenance Truck,Town - Maintenance,1982,56,1
6685-1,Fire Copter 1,Town - Fire,1982,99,1
6880-1,Surface Explorer,Space - Classic,1982,82,1
6890-1,Cosmic Cruiser,Space - Classic,1982,115,1
6950-1,Mobile Rocket Transport,Space - Classic,1982,209,2
8030-1,Universal Set,Technic - Universal,1982,141,
8050-1,Universal Motor Set,Technic - Universal,1982,141,
8090-1,Universal Set,Technic - Universal,1982,266,
8700-1,Power Pack,Technic - Supplementary,1982,26,
8846-1,Tow Truck,Technic,1982,379,
50YOP-1,50 Years of Play,Books - LEGO,1982,,
710-3,"Basic Building Set, 7+",Basic,1983,364,2
757-1,Storage Tray Red,Gear - Storage,1983,,
758-1,Storage Tray Blue,Gear - Storage,1983,,
1031-1,Building Cards - 1030,Dacta,1983,20,
1055-1,Mini Basic Pack,Dacta,1983,,
1126-1,Jack,Service Packs,1983,2,
1161-1,Pump cylinder,Service Packs - Technic,1983,1,
1593-1,Super Model Building Instructions,Space - Classic,1983,313,2
1907-1,Crecer Feliz Giftbox,Duplo,1983,2,
1911-1,Basic Set,Basic,1983,34,
1912-1,Car,Basic,1983,20,
1913-1,Boat,Basic,1983,27,
1914-1,Helicopter,Basic,1983,20,
1915-1,Aircraft,Basic,1983,20,
1916-2,Animal,Duplo,1983,6,
1917-2,Animal,Duplo,1983,5,
1918-1,Bird,Duplo,1983,5,
1919-1,Duplo Promotional Set,Duplo,1983,4,1
1924-1,Motorcycle,Technic,1983,103,
1944-1,Universal Building Set with Storage Case,Basic,1983,138,
1977-1,Special Three-Set Space Pack,Space - Bonus/Value Pack,1983,82,
1978-2,Town Value Pack,Town - Bonus/Value Pack,1983,100,
2015-1,Oval Rattle,Duplo - Baby,1983,1,
2023-1,Square Rattle,Duplo - Baby,1983,1,
2024-1,Duck Rattle,Duplo - Baby,1983,1,
2037-1,Spin-A-Coaster,Duplo - Baby,1983,2,
2038-1,Activity and Bath Toy,Duplo - Baby,1983,2,
2365-1,Basic Set Safari,Duplo,1983,34,
2401-1,Racer,Duplo,1983,3,1
2402-1,Police Car,Duplo,1983,5,1
2411-1,Camping,Duplo,1983,11,2
2634-1,Tip Truck,Duplo,1983,7,1
2646-1,Crane Set,Duplo,1983,23,1
2700-1,Train Set,Duplo - Trains,1983,31,1
2705-1,Passenger Train,Duplo - Trains,1983,12,2
2711-1,Straight Tracks,Duplo - Trains,1983,4,
2712-1,Curved Tracks,Duplo - Trains,1983,4,
3626-1,Roger Racoon and his Sports Car,Fabuland,1983,16,1
3627-1,Bonnie Bunny,Fabuland,1983,18,1
3637-1,Gertrude Goat the painter,Fabuland,1983,14,1
3638-1,Fire Engine,Fabuland,1983,17,1
3709-1,Henry Horse the carpenter,Fabuland,1983,2,1
3710-1,Patrick Panda,Fabuland,1983,2,1
3787-1,Hannah Hippopotamus the public gardener,Fabuland,1983,8,1
3788-1,Paulette Poodles' Living Room,Fabuland,1983,12,1
6002-1,Town Figures,Town - Accessories,1983,20,4
6002-2,Castle Figures,Castle - Classic,1983,22,4
6307-1,Firemen,Town - Accessories,1983,22,4
6371-1,Shell Service Station,Town - Shops and Services,1983,261,3
6374-1,Holiday Home,Town - Leisure,1983,257,2
6384-1,Police Station,Town - Police,1983,389,4
6606-1,Road Repair Set,Town - Maintenance,1983,27,1
6623-1,Police Car,Town - Police,1983,39,1
6624-1,Delivery Van,Town - Vehicles,1983,41,1
6652-1,Construction Truck,Town - Construction,1983,44,1
6654-1,Motorcycle Transport,Town - Vehicles,1983,42,1
6683-1,Hamburger Stand,Town - Shops and Services,1983,69,2
6692-1,Tractor Trailer,Town - Vehicles,1983,96,1
6701-1,Minifig Pack,Space - Classic,1983,36,6
6711-1,Minifig Pack,Space - Classic,1983,24,4
6803-1,Space Patrol,Space - Classic,1983,25,1
6823-1,Surface Transport,Space - Classic,1983,27,1
6844-1,Sismobile,Space - Classic,1983,46,1
6930-1,Space Supply Station,Space - Classic,1983,206,4
6980-1,Galaxy Commander,Space - Classic,1983,443,5
7727-1,Freight Steam Train Set,Trains - 4.5/12 V,1983,570,2
7755-1,Diesel Heavy Shunting Locomotive,Trains - 4.5/12 V,1983,164,1
7815-1,Passenger Carriage / Sleeper,Trains - 4.5/12 V,1983,228,2
7819-1,Postal Container Wagon,Trains - 4.5/12 V,1983,183,1
7821-1,Track & Lighting Maintenance Wagon,Trains - 4.5/12 V,1983,90,2
7824-1,Railway Station,Trains - 4.5/12 V,1983,478,9
7838-1,Freight Loading Depot,Trains - 4.5/12 V,1983,315,3
7866-1,Remote Controlled Road Crossing 12 V,Trains - 4.5/12 V,1983,191,1
7867-1,4 Lighting Standards Electric 12 V,Trains - 4.5/12 V,1983,52,
8841-1,Dune Buggy,Technic,1983,180,
8847-1,Dragster,Technic,1983,250,
15-1,Castle Minifigures,Castle - Classic,1984,10,6
105-1,Mail Van,Town - Special,1984,65,1
226-4,The Building Book,Books - LEGO,1984,,
311-3,"Basic Building Set, 3+",Basic,1984,83,
533-1,"Basic Building Set, 5+",Basic,1984,89,
759-1,Storage Cabinet,Gear - Storage,1984,,
760-1,Storage Cabinet,Gear - Storage,1984,,
801-4,Fabuland Characters,Fabuland,1984,,2
1012-1,Mosaic Set,Dacta,1984,,
1032-1,Technic II Powered Machines Set,Dacta - Technic,1984,278,
1051-1,Basic Pack,Dacta,1984,,
1052-1,{Spare Elements},Dacta,1984,,
1053-1,Community Buildings,Dacta,1984,914,
1084-1,{Spare Elements - Structures},Dacta,1984,,
1900-1,Trial Pack Duck,Duplo,1984,6,
1901-1,Trial Size Offer,Basic,1984,31,
1932-1,Basic Building Set with Storage Case,Basic,1984,83,
1954-2,Basic Set with Storage Case,Basic,1984,137,
1976-1,Town 3-Pack,Town - Bonus/Value Pack,1984,97,
1979-2,Town Value Pack,Town - Product Collection,1984,78,
1983-1,Space Value Pack,Space - Bonus/Value Pack,1984,97,
2054-1,Squirrel Rattle,Duplo - Baby,1984,2,
2055-1,Rocking Horse,Duplo - Baby,1984,2,1
2305-1,"Base Plate, Red",Duplo,1984,1,
2307-1,Supplementary Set,Duplo,1984,18,
2309-1,Supplementary Set,Duplo,1984,25,
2335-1,Basic Set Animal,Duplo,1984,9,
2345-1,Basic Set House,Duplo,1984,15,2
2355-1,Basic Set Vehicles,Duplo,1984,25,2
2375-1,Basic Set Town,Duplo,1984,53,4
2618-1,Deep Sea Diver,Duplo,1984,2,1
2619-1,Helicopter,Duplo,1984,2,1
2636-1,Tow Truck,Duplo,1984,3,1
2639-1,Petrol Station,Duplo,1984,12,2
2649-1,Sea Explorer,Duplo,1984,36,3
2713-1,Train Points,Duplo - Trains,1984,10,
2717-1,Train Bridge,Duplo - Trains,1984,5,
3630-1,Percy Pilot,Fabuland,1984,8,1
3639-1,Paddy Wagon,Fabuland,1984,9,2
3664-1,Bertie Bulldog (Police Chief) and Constable Bulldog,Fabuland,1984,63,2
3670-1,Service Station,Fabuland,1984,52,2
3671-1,Airport,Fabuland,1984,49,3
3711-1,Tubby and Tuba,Fabuland,1984,4,1
3712-1,Robby Rabbit,Fabuland,1984,4,1
3713-1,Mike Monkey,Fabuland,1984,7,1
3789-1,Constable Clarke,Fabuland,1984,5,1
3791-1,Wally Walrus,Fabuland,1984,6,1
6010-1,Supply Wagon,Castle - Lion Knights,1984,35,1
6021-1,Jousting Knights,Castle - Lion Knights,1984,37,2
6022-1,Horse Cart,Castle - Lion Knights,1984,42,2
6030-1,Catapult,Castle - Black Falcons,1984,83,2
6040-1,Blacksmith Shop,Castle - Lion Knights,1984,92,2
6061-1,Siege Tower,Castle - Lion Knights,1984,216,4
6073-1,Knight's Castle,Castle - Black Falcons,1984,410,6
6080-1,King's Castle,Castle - Lion Knights,1984,674,12
6103-2,Castle Figures,Castle - Accessories,1984,25,4
6366-1,Fire & Rescue Squad,Town - Fire,1984,112,3
6367-1,Semi Truck,Town - Vehicles,1984,155,1
6373-1,Motorcycle Shop,Town - Shops and Services,1984,171,2
6391-1,Cargo Center,Town - Shops and Services,1984,553,5
6605-1,Road Racer,Town - Racing,1984,20,1
6621-1,Fire Truck,Town - Fire,1984,38,1
6622-1,Mailman on Motorcycle,Town - Postal,1984,26,2
6628-2,Construction Workers,Town - Accessories,1984,20,4
6655-1,Auto & Tire Repair,Town - Shops and Services,1984,58,1
6684-1,Police Patrol Squad,Town - Police,1984,77,2
6686-1,Backhoe,Town - Construction,1984,88,1
6694-1,Car with Camper,Town - Leisure,1984,109,2
6695-1,Tanker Truck,Town - Vehicles,1984,106,1
6696-1,Fuel Tanker,Town - Vehicles,1984,106,1
6804-1,Surface Rover,Space - Classic,1984,21,1
6824-1,Space Dart I,Space - Classic,1984,48,1
6846-1,Tri-Star Voyager,Space - Classic,1984,69,1
6871-1,Star Patrol Launcher,Space - Classic,1984,70,2
6881-1,Lunar Rocket Launcher,Space - Classic,1984,97,1
6928-1,Uranium Search Vehicle,Space - Classic,1984,199,2
6951-1,Robot Command Center,Space - Classic,1984,295,3
6971-1,Inter-Galactic Command Base,Space - Classic,1984,328,3
8020-1,Universal Set,Technic - Universal,1984,119,
8040-1,Universal Set,Technic - Universal,1984,163,
8843-1,Fork-Lift Truck,Technic,1984,269,
8851-1,Excavator,Technic,1984,347,
8889-1,Ideas Book,Books - LEGO,1984,,
106-1,UNICEF Van,Town - Special,1985,59,1
107-2,Mail Truck,Town - Special,1985,31,1
200-2,Building Ideas Book,Books - LEGO,1985,,
293-2,Basic Building Set,Basic,1985,,
304-1,"Basic Building Set, 3+",Basic,1985,31,
308-2,"Basic Building Set, 3+",Basic,1985,30,
310-4,"Basic Building Set, 3+",Basic,1985,46,
320-1,"Basic Building Set, 3+",Basic,1985,77,1
330-1,"Basic Building Set, 3+",Basic,1985,156,2
340-1,"Basic Building Set, 3+",Basic,1985,214,2
350-2,"Basic Building Set, 3+",Basic,1985,311,4
504-1,"Basic Building Set, 5+",Basic,1985,41,
508-1,"Basic Building Set, 5+",Basic,1985,66,
510-1,"Basic Building Set, 5+",Basic,1985,98,
520-1,"Basic Building Set, 5+",Basic,1985,165,1
530-1,"Basic Building Set, 5+",Basic,1985,269,2
540-1,"Basic Building Set, 5+",Basic,1985,626,2
550-1,"Basic Building Set, 5+",Basic,1985,569,2
720-1,"Basic Building Set, 7+",Basic,1985,334,1
730-2,"Basic Building Set, 7+",Basic,1985,429,2
740-1,"Basic Building Set, 7+",Basic,1985,516,
783-1,Storage Case,Gear - Storage,1985,,
810-1,Basic Motor Set,Basic - Supplementaries,1985,34,
895-1,Wind-Up Motor,Basic - Supplementaries,1985,10,
1013-1,Numbers - 6 symbols,Dacta,1985,,
1015-1,Letters Large,Dacta,1985,192,
1016-1,Letter Bricks for Wall Board,Dacta,1985,,
1018-1,Letters Small,Dacta,1985,,
1024-1,Animals - 32 elements,Dacta,1985,32,
1025-1,Figures and Furniture,Dacta,1985,35,6
1026-1,Play Boxes from 2 yrs,Dacta,1985,2,
1027-1,Vehicles,Dacta,1985,30,6
1030-1,Technic I Simple Machines Set,Dacta - Technic,1985,179,
1033-1,Building Cards - 1032,Dacta,1985,20,
1034-1,Teachers Resource Set,Dacta - Technic,1985,1501,
1038-1,Universal Buggy,Dacta - Technic,1985,119,
1049-1,Ships,Dacta,1985,241,3
1056-1,Basic School Pack - Topical/Thematic work,Dacta,1985,809,
1063-1,Community Workers,Dacta - Town,1985,115,24
1065-1,House Accessories,Dacta,1985,184,
1085-1,Large Baseplate 48 x 48,Dacta,1985,1,
1087-1,6 Lego Baseplates 8 x 16 Green,Dacta,1985,6,
1089-1,Lego Basic Figures,Dacta,1985,24,24
1512-2,Basic Set with Storage Case,Basic - Universal Building Set,1985,99,1
1520-1,Basic Building Set with Storage Case,Basic,1985,210,1
1537-2,Rattle Round with Ball,Duplo,1985,,
1538-2,Building Bricks,Duplo,1985,10,
1539-2,Building Bricks with Figure,Duplo,1985,10,
1546-1,Aircraft,Universal Building Set,1985,26,1
1548-2,Helicopter,Basic,1985,36,
1550-2,Basic Set,Duplo,1985,6,
1551-1,Duck,Basic,1985,6,
1552-1,Maersk Truck and Trailer Unit,Town - Special,1985,352,1
1560-3,Basic Building Set,Basic - Universal Building Set,1985,27,
1562-2,Basic Building Set,Basic,1985,32,
1655-1,Viking Line Ferry,Promotional - Ferries,1985,176,
1957-1,Building Set with Storage Bunny,Duplo,1985,29,2
1958-2,Basic Model,Duplo,1985,5,1
1959-2,Basic Model,Duplo,1985,5,1
1960-2,Special Value Set,Basic - Universal Building Set,1985,96,1
1961-1,Basic Set with Storage Case,Basic,1985,,
1962-1,Basic Building Set,Basic,1985,211,1
1964-1,Basic Building Set,Basic,1985,27,
1965-1,"Building Set, Trial Size Offer",Basic,1985,32,1
1966-1,Car Repair Shop,Town - Special,1985,296,2
1967-2,Town Value Pack,Town - Bonus/Value Pack,1985,155,
1968-1,(Unnamed),Space - Classic,1985,193,2
